date;interval;start;color;text;noise;interaction;genuary;number;sequence;choice;qatar;language;help;wrong_message;errors
2021-12-30;15 days, 14:38:11;0;[7, 7, 0, 2, 0, 0];[4, 2, 0, 0];[0, 0, 0, 0];[0,0,0,0];0;0;0;[0, 0];[0,0];[0,1];0;12;1
2022-1-1;2 days, 2:52:12;2;[3, 5, 0, 1, 0, 0];[0, 0, 0, 0];[0, 0, 6, 7];[0,0,0,0];0;0;1;[0, 0];[0,0];[0, 1];1;3;1
2022-1-2;1 day, 3:41:45;1;[2, 3, 1, 0, 0, 0];[1, 0, 0, 0];[0, 0, 0, 0];[0,0,0,0];18;0;0;[0, 0];[0,0];[0, 0];0;0;0
2022-1-5;2 days, 19:17:45;5;[2, 2, 2, 3, 2, 2];[1, 2, 2, 2];[0, 0, 2, 4];[0,0,0,0];38;1;1;[0, 1];[0,0];[0, 0];0;3;1
2022-1-6;1 day, 6:51:13;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0];[0, 0, 0, 0];[0,0,0,0];23;0;0;[0, 0];[0,0];[0, 0];0;1;1
2022-1-7;20:04:41;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0];[0, 0, 0, 0];[0,0,0,0];4;0;0;[1, 0];[0,0];[0, 0];0;0;0
2022-1-13;5 days, 23:34:01;0;[0, 0, 0, 0, 0, 0];[1, 0, 1, 0];[0, 0, 0, 0];[0,0,0,0];8;0;0;[0, 0];[[0,0];0, 0];0;0;0
2022-1-16;2 days, 6:39:47;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0];[0, 0, 0, 0];[0,0,0,0];6;0;0;[0, 0];[0,0];[0, 0];0;4;0
2022-1-18;2 days, 17:59:27;0;[0, 1, 0, 0, 0, 0];[0, 0, 0, 0];[0, 0, 0, 0];[0,0,0,0];0;0;0;[0, 0];[0,0];[0, 0];0;0;0
2022-2-8;20 days, 21:56:27;2;[2, 3, 2, 1, 3, 7];[7, 3, 4, 3];[0, 0, 7, 7];[0,0,0,0];48;1;1;[3, 2];[0,0];[0, 0];2;4;0
2022-2-9;14:04:56;1;[1, 1, 1, 1, 1, 1];[2, 1, 3, 1];[0, 0, 3, 1];[22, 0, 0, 8];8;1;1;[0, 0];[0,0];[0, 0];0;6;0
2022-4-1;51 days, 5:47:54;1;[2, 3, 2, 2, 0, 1];[2, 0, 4, 1];[0, 0, 1, 0];[44, 0, 0, 21];20;0;1;[1, 1];[[0,0];0, 0];2;22;4
2022-7-19;108 days, 3:50:37;4;[1, 2, 2, 0, 5, 2];[0, 0, 14, 1];[0, 0, 0, 1];[16, 0, 0, 13];2;3;1;[6, 2];[0,0];[1, 0];0;2;0
2022-9-25;68 days, 19:58:10;5;[1, 3, 2, 2, 0, 1];[2, 1, 5, 0];[0, 0, 0, 0];[0, 0, 0, 0];2;0;0;[1, 1];[0,0];[0, 0];0;4;0
2022-9-28;3 days, 0:27:02;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0];[0, 0, 0, 0];[0, 11, 0, 8];0;0;0;[1, 0];[0,0];[0, 0];0;13;0
2022-10-2;3 days, 19:03:12;0;[0, 0, 0, 0, 0, 0];[0, 0, 1, 0];[0, 0, 0, 0];[2, 10, 0, 7];0;0;0;[0, 0];[0,0];[0, 0];0;1;0
2022-11-21;50 days, 2:50:52;2;[3, 1, 1, 4, 1, 0];[9, 1, 1, 1];[0, 0, 0, 0];[4, 2, 0, 4];17;0;0;[8, 1];[0,0];[0, 0];0;8;0
